,Date,Homestead_maxtempC,Homestead_mintempC,Homestead_DewPointC,Homestead_FeelsLikeC,Homestead_HeatIndexC,Homestead_WindChillC,Homestead_WindGustKmph,Homestead_humidity,Homestead_precipMM,Homestead_pressure,Homestead_tempC,Homestead_windspeedKmph,Consumption
0,2020-05-22 10:00:00,31.0,25.0,21.0,32.0,32.0,29.0,21.0,65.0,0.1,1017.0,29.0,17.0,56.0
1,2020-05-22 09:00:00,31.0,25.0,22.0,31.0,31.0,28.0,21.0,69.0,0.1,1017.0,28.0,16.0,56.0
2,2020-05-22 08:00:00,31.0,25.0,22.0,30.0,30.0,27.0,21.0,73.0,0.1,1017.0,27.0,15.0,57.0
3,2020-05-22 07:00:00,31.0,25.0,22.0,29.0,29.0,27.0,21.0,76.0,0.1,1017.0,27.0,14.0,59.0
4,2020-05-22 06:00:00,31.0,25.0,22.0,28.0,28.0,26.0,21.0,80.0,0.2,1017.0,26.0,13.0,63.0
5,2020-05-22 05:00:00,31.0,25.0,22.0,28.0,28.0,26.0,22.0,80.0,0.2,1017.0,26.0,13.0,70.0
